month,users_last_online
2021-02,51
2021-03,26
2021-04,13
2021-05,13
2021-06,20
2021-07,8
2021-08,14
2021-09,10
2021-10,13
2021-11,16
2021-12,15
2022-01,14
2022-02,8
2022-03,23
2022-04,21
2022-05,25
2022-06,27
2022-07,34
2022-08,36
2022-09,29
2022-10,28
2022-11,41
2022-12,27
2023-01,56
2023-02,37
2023-03,40
2023-04,37
2023-05,32
2023-06,34
2023-07,21
2023-08,104
2023-09,58
2023-10,57
2023-11,46
2023-12,45
2024-01,53
2024-02,48
2024-03,56
2024-04,73
2024-05,65
2024-06,52
2024-07,52
2024-08,50
2024-09,56
2024-10,67
2024-11,56
2024-12,45
2025-01,52
2025-02,31
2025-03,40
2025-04,42
2025-05,37
2025-06,36
2025-07,38
2025-08,35
2025-09,58
2025-10,52
2025-11,41
2025-12,46
2026-01,48
2026-02,53
2026-03,69
2026-04,80
2026-05,104
2026-06,139
2026-07,325
